Team,Division,W,L,T,PCT,Playoffs,Pts/G,Total Pts,Scrm Plays,Total Yards,Yds/P,1st,3rd Md,3rd Att,3rd Pct,RZ Md,RZ Att,RZ Pct,Pen,Pen Yds,TOP,TO Diff,Rush Yds Allowed,Rush Yards Allowed Per Attempt,TFL,TFL Pct,Sacks,Sack Pct,QB Hits,QB Hit Pct,Comp,Att,Pct Completion,Passing Yds,Pass Yds/Att,Yds/Comp,Pass TD,Int,Passing 1st,Sack Yds,QB Rating,Rushing Att,Rushing Yds,Rushing Yds/Att,Rushing TD,Rushing 1st,Rec,Receiving Yds,Yds/Rec,Receiving TD,Receiving 1st
Arizona Cardinals,NFC West,7,8,1,0.469,0,26.1,418,1086,5868,5.4,368,87,214,40.7,35,54,64.8,104,889,31:53:00,0,1732,4.3,76,19,41,6,126,18.3,383,646,59.3,4136,6.4,10.8,28,17,229,289,81.65,399,1732,4.3,20,97,383,4136,6.4,28,229
Atlanta Falcons,NFC South,11,5,0,0.688,1,33.8,540,995,6653,6.7,379,75,178,42.1,39,63,61.9,104,847,30:22:00,11,1928,4.6,79,18.8,37,6.4,93,16.2,374,537,69.6,4725,8.8,12.6,38,7,239,235,114.94,421,1928,4.6,20,108,374,4725,8.8,38,239
Baltimore Ravens,AFC North,8,8,0,0.5,0,21.4,343,1079,5563,5.2,316,86,233,36.9,24,46,52.2,125,1111,31:46:00,5,1463,4,81,22.1,33,4.6,82,11.5,439,679,64.7,4100,6,9.3,20,16,205,243,81.12,367,1463,4,10,79,439,4100,6,20,205
Buffalo Bills,AFC East,7,9,0,0.438,0,24.9,399,1013,5665,5.6,328,86,210,41,35,54,64.8,112,960,30:48:00,6,2629,5.3,99,20.1,46,8.8,87,16.7,287,475,60.4,3036,6.4,10.6,17,7,155,214,84.86,492,2629,5.3,29,146,287,3036,6.4,17,155
Carolina Panthers,NFC South,6,10,0,0.375,0,23.1,369,1052,5499,5.2,318,83,223,37.2,29,49,59.2,98,850,31:50:00,-2,1814,4,74,16.3,36,6,96,16,306,563,54.4,3685,6.5,12,21,19,194,277,73.02,453,1814,4,16,99,306,3685,6.5,21,194
Chicago Bears,NFC North,3,13,0,0.188,0,17.4,279,967,5704,5.9,324,70,185,37.8,25,49,51,110,967,28:07:00,-20,1735,4.6,59,15.5,28,4.8,75,12.8,347,559,62.1,3969,7.1,11.4,19,19,212,170,80.56,380,1735,4.6,10,93,347,3969,7.1,19,212
Cincinnati Bengals,AFC North,6,9,1,0.406,0,20.3,325,1050,5711,5.4,341,82,210,39,29,54,53.7,88,726,30:20:00,3,1769,4,74,16.6,41,6.8,75,12.4,364,563,64.7,3942,7,10.8,18,8,204,264,89.87,446,1769,4,17,100,364,3942,7,18,204
Cleveland Browns,AFC North,1,15,0,0.063,0,16.5,264,983,4976,5.1,296,77,212,36.3,24,44,54.5,95,736,28:16:00,-12,1712,4.9,122,34.9,66,10.4,136,21.5,338,567,59.6,3264,5.8,9.7,15,14,181,429,74.28,350,1712,4.9,13,83,338,3264,5.8,15,181
Dallas Cowboys,NFC East,13,3,0,0.813,1,26.3,421,1010,6027,6,358,80,189,42.3,38,57,66.7,105,879,32:55:00,5,2396,4.8,60,12,28,5.5,66,12.9,325,483,67.3,3631,7.5,11.2,25,6,191,168,101.56,499,2396,4.8,24,142,325,3631,7.5,25,191
Denver Broncos,AFC West,9,7,0,0.563,0,20.8,333,1020,5169,5.1,290,75,219,34.2,22,47,46.8,119,985,29:03:00,2,1484,3.6,77,18.8,40,6.6,102,16.7,339,570,59.5,3685,6.5,10.9,20,11,181,229,82.24,410,1484,3.6,11,76,339,3685,6.5,20,181
Detroit Lions,NFC North,9,7,0,0.563,0,21.6,346,981,5421,5.5,329,83,195,42.6,26,48,54.2,100,861,30:07:00,-1,1310,3.7,88,25.1,37,5.9,79,12.5,388,594,65.3,4111,6.9,10.6,24,10,217,216,91.81,350,1310,3.7,9,76,388,4111,6.9,24,217
Green Bay Packers,NFC North,10,6,0,0.625,1,27,432,1029,5900,5.7,349,98,210,46.7,40,66,60.6,100,827,31:14:00,8,1701,4.5,68,18.2,35,5.3,72,11,403,620,65,4199,6.8,10.4,40,8,222,246,100.6,374,1701,4.5,11,91,403,4199,6.8,40,222
Houston Texans,AFC South,9,7,0,0.563,1,17.4,279,1071,5035,4.7,305,87,233,37.3,18,44,40.9,87,868,32:34:00,-7,1859,4.1,70,15.4,32,5.2,97,15.8,347,583,59.5,3176,5.4,9.2,15,16,173,242,71.52,456,1859,4.1,8,102,347,3176,5.4,15,173
Indianapolis Colts,AFC South,8,8,0,0.5,0,25.7,411,1037,5831,5.6,351,87,202,43.1,35,53,66,102,883,31:52:00,-5,1629,4,64,15.6,44,7,133,21.2,370,584,63.4,4202,7.2,11.4,32,15,220,289,92.42,409,1629,4,13,93,370,4202,7.2,32,220
Jacksonville Jaguars,AFC South,3,13,0,0.188,0,19.9,318,1052,5359,5.1,321,78,221,35.3,24,40,60,129,1178,29:09:00,-16,1631,4.2,80,20.4,34,5.2,82,12.4,369,626,58.9,3728,6,10.1,24,16,207,197,78.15,392,1631,4.2,8,75,369,3728,6,24,207
Kansas City Chiefs,AFC West,12,4,0,0.75,1,24.3,389,990,5489,5.5,305,81,213,38,25,55,45.5,109,848,31:36:00,16,1749,4.2,80,19.4,32,5.5,73,12.6,365,546,66.8,3740,6.8,10.2,19,8,197,174,91.83,412,1749,4.2,15,86,365,3740,6.8,19,197
Los Angeles Chargers,AFC West,5,11,0,0.313,0,25.6,410,1014,5708,5.6,340,85,200,42.5,32,62,51.6,107,780,31:33:00,-7,1510,3.8,85,21.4,36,5.8,98,15.9,349,580,60.2,4198,7.2,12,33,21,214,188,86.26,398,1510,3.8,10,90,349,4198,7.2,33,214
Los Angeles Rams,NFC West,4,12,0,0.25,0,14,224,960,4203,4.4,245,67,213,31.5,16,34,47.1,126,1091,29:21:00,-11,1252,3.3,105,28,49,8.4,99,16.9,312,536,58.2,2951,5.5,9.5,14,20,151,362,66.69,375,1252,3.3,9,68,312,2951,5.5,14,151
Miami Dolphins,AFC East,10,6,0,0.625,0,22.7,363,912,5324,5.8,278,69,188,36.7,26,47,55.3,125,1141,29:00:00,2,1824,4.5,79,19.5,30,5.9,92,18.1,316,477,66.2,3500,7.3,11.1,27,15,167,216,93.63,405,1824,4.5,15,90,316,3500,7.3,27,167
Minnesota Vikings,NFC North,8,8,0,0.5,0,20.4,327,1006,5041,5,303,81,213,38,23,50,46,103,882,31:36:00,11,1205,3.2,85,22.4,38,6.1,98,15.7,414,588,70.4,3836,6.5,9.3,20,5,209,283,95.73,380,1205,3.2,9,66,414,3836,6.5,20,209
New England Patriots,AFC East,14,2,0,0.875,1,27.6,441,1056,6180,5.9,351,104,227,45.8,38,60,63.3,93,819,31:13:00,12,1872,3.9,65,13.5,24,4.2,69,12,368,550,66.9,4308,7.8,11.7,32,2,203,148,108.36,482,1872,3.9,19,109,368,4308,7.8,32,203
